"Timestamp","Numéro d'équipe","Préférence 1","Préférence 2"
"2018/09/08 3:31:14 PM AST","10","Samedi 15 septembre","Lundi 17 septembre (soir)"
"2018/09/08 3:31:25 PM AST","12","Mardi 18 septembre (soir)","Samedi 15 septembre"
